# layer center[mm] area[cm2] mipsig sipm_noise S/N power[mW] fluence dose[kRad] inner outer
-3   1474  4.59  20.4   6.0  3.42  5.91 4.90e+13 157.9 1484 1463
-3   1495  4.73  20.6   5.8  3.58  5.49 4.55e+13 148.6 1506 1484
-3   1517  4.87  20.8   5.5  3.75  5.09 4.22e+13 139.9 1528 1506
-3   1539  5.01  20.9   5.3  3.92  4.72 3.91e+13 131.7 1551 1528
-3   1562  5.16  21.0   5.1  4.10  4.37 3.62e+13 124.1 1573 1551
-3   1585  5.31  21.2   4.9  4.29  4.04 3.35e+13 116.9 1596 1573
-3   1608  5.47  21.3   4.7  4.49  3.73 3.09e+13 110.3 1620 1596
-3   1632  5.63  21.4   4.6  4.70  3.45 2.86e+13 104.0 1643 1620
-3   1655  5.80  21.5   4.4  4.91  3.18 2.63e+13  98.2 1667 1643
-3   1680  5.97  21.6   4.2  5.14  2.93 2.43e+13  92.8 1692 1667
-3   1704  6.15  21.6   4.0  5.37  2.69 2.23e+13  87.7 1717 1692
-3   1729  6.33  21.7   3.9  5.62  2.48 2.05e+13  83.0 1742 1717
-3   1755  6.51  21.7   3.7  5.87  2.27 1.88e+13  78.5 1767 1742
-3   1780  6.71  21.8   3.5  6.14  2.09 1.73e+13  74.4 1793 1767
-3   1806  6.90  21.8   3.4  6.42  1.91 1.58e+13  70.6 1820 1793
-3   1833  7.11  21.8   3.2  6.71  1.75 1.45e+13  67.0 1846 1820
-3   1860  7.32  21.8   3.1  7.02  1.60 1.33e+13  63.7 1873 1846
-3   1887  7.53  21.8   3.0  7.34  1.46 1.21e+13  60.6 1901 1873
-2   1350  3.86  20.7   6.9  3.02  7.82 6.48e+13 190.8 1360 1341
-2   1370  3.97  20.9   6.6  3.15  7.31 6.06e+13 179.4 1380 1360
-2   1390  4.09  21.1   6.4  3.29  6.83 5.66e+13 168.8 1400 1380
-2   1411  4.21  21.3   6.2  3.43  6.37 5.28e+13 158.8 1421 1400
-2   1431  4.33  21.5   6.0  3.59  5.94 4.92e+13 149.5 1442 1421
-2   1452  4.46  21.6   5.8  3.74  5.54 4.59e+13 140.8 1463 1442
-2   1474  4.59  21.8   5.6  3.91  5.15 4.27e+13 132.6 1484 1463
-2   1495  4.73  21.9   5.4  4.08  4.79 3.97e+13 125.0 1506 1484
-2   1517  4.87  22.1   5.2  4.26  4.46 3.69e+13 117.8 1528 1506
-2   1539  5.01  22.2   5.0  4.44  4.14 3.43e+13 111.2 1551 1528
-2   1562  5.16  22.3   4.8  4.63  3.84 3.18e+13 104.9 1573 1551
-2   1585  5.31  22.4   4.6  4.83  3.56 2.95e+13  99.1 1596 1573
-2   1608  5.47  22.5   4.5  5.04  3.30 2.73e+13  93.7 1620 1596
-2   1632  5.63  22.5   4.3  5.25  3.05 2.53e+13  88.6 1643 1620
-2   1655  5.80  22.6   4.1  5.48  2.82 2.34e+13  83.9 1667 1643
-2   1680  5.97  22.6   4.0  5.71  2.61 2.16e+13  79.5 1692 1667
-2   1704  6.15  22.7   3.8  5.95  2.41 2.00e+13  75.3 1717 1692
-2   1729  6.33  22.7   3.7  6.20  2.22 1.84e+13  71.5 1742 1717
-2   1755  6.51  22.7   3.5  6.46  2.05 1.70e+13  68.0 1767 1742
-2   1780  6.71  22.7   3.4  6.73  1.88 1.56e+13  64.6 1793 1767
-2   1806  6.90  22.7   3.2  7.01  1.73 1.44e+13  61.6 1820 1793
-2   1833  7.11  22.6   3.1  7.30  1.59 1.32e+13  58.7 1846 1820
-2   1860  7.32  22.6   3.0  7.60  1.46 1.21e+13  56.1 1873 1846
-2   1887  7.53  22.5   2.8  7.91  1.34 1.11e+13  53.6 1901 1873
-2   1915  7.76  22.4   2.7  8.23  1.23 1.02e+13  51.3 1929 1901
-2   1943  7.98  22.3   2.6  8.57  1.13 9.34e+12  49.2 1957 1929
-1   1350  3.86  22.0   6.4  3.45  6.78 5.62e+13 162.5 1360 1341
-1   1370  3.97  22.2   6.2  3.60  6.34 5.26e+13 152.7 1380 1360
-1   1390  4.09  22.4   6.0  3.75  5.93 4.92e+13 143.5 1400 1380
-1   1411  4.21  22.6   5.8  3.91  5.54 4.59e+13 134.9 1421 1400
-1   1431  4.33  22.8   5.6  4.08  5.18 4.29e+13 126.9 1442 1421
-1   1452  4.46  22.9   5.4  4.25  4.83 4.01e+13 119.3 1463 1442
-1   1474  4.59  23.1   5.2  4.43  4.51 3.74e+13 112.3 1484 1463
-1   1495  4.73  23.2   5.0  4.61  4.20 3.48e+13 105.7 1506 1484
-1   1517  4.87  23.3   4.9  4.81  3.91 3.24e+13  99.5 1528 1506
-1   1539  5.01  23.5   4.7  5.01  3.64 3.02e+13  93.8 1551 1528
-1   1562  5.16  23.6   4.5  5.21  3.39 2.81e+13  88.4 1573 1551
-1   1585  5.31  23.6   4.4  5.43  3.15 2.61e+13  83.4 1596 1573
-1   1608  5.47  23.7   4.2  5.65  2.93 2.43e+13  78.7 1620 1596
-1   1632  5.63  23.8   4.0  5.87  2.72 2.25e+13  74.4 1643 1620
-1   1655  5.80  23.8   3.9  6.11  2.52 2.09e+13  70.3 1667 1643
-1   1680  5.97  23.8   3.8  6.35  2.34 1.94e+13  66.5 1692 1667
-1   1704  6.15  23.9   3.6  6.61  2.17 1.79e+13  63.0 1717 1692
-1   1729  6.33  23.9   3.5  6.87  2.00 1.66e+13  59.7 1742 1717
-1   1755  6.51  23.9   3.3  7.13  1.86 1.54e+13  56.6 1767 1742
-1   1780  6.71  23.8   3.2  7.41  1.72 1.42e+13  53.8 1793 1767
-1   1806  6.90  23.8   3.1  7.70  1.59 1.31e+13  51.1 1820 1793
-1   1833  7.11  23.7   3.0  7.99  1.46 1.21e+13  48.6 1846 1820
-1   1860  7.32  23.7   2.9  8.30  1.35 1.12e+13  46.4 1873 1846
-1   1887  7.53  23.6   2.7  8.61  1.25 1.03e+13  44.2 1901 1873
-1   1915  7.76  23.5   2.6  8.93  1.15 9.52e+12  42.3 1929 1901
-1   1943  7.98  23.4   2.5  9.27  1.06 8.77e+12  40.5 1957 1929
-1   1971  8.22  23.3   2.4  9.61  0.97 8.07e+12  38.8 1985 1957
-1   2000  8.46  23.2   2.3  9.96  0.90 7.43e+12  37.3 2015 1985
 0   1227  4.59  36.8  10.3  3.57 17.67 7.32e+13 205.8 1238 1216
 0   1248  4.75  37.3   9.9  3.75 16.41 6.80e+13 191.2 1259 1238
 0   1270  4.92  37.7   9.6  3.94 15.22 6.31e+13 177.7 1281 1259
 0   1293  5.09  38.1   9.2  4.13 14.11 5.85e+13 165.2 1304 1281
 0   1316  5.27  38.5   8.9  4.34 13.07 5.42e+13 153.7 1327 1304
 0   1339  5.46  38.9   8.5  4.55 12.10 5.01e+13 143.0 1350 1327
 0   1362  5.65  39.2   8.2  4.78 11.19 4.63e+13 133.2 1374 1350
